pattern,lag,stop_loss,take_profit,trailing_stop,position_size,holding_time,source,total_return,total_return_pct,win_rate,total_trades,max_drawdown,max_drawdown_pct,sharpe_ratio,profit_factor,avg_trade_duration_minutes,avg_trade_return_pct,final_value,risk_adjusted_return
btc_small_down_10m,0,0.0075,0.02,0.003,0.2,30,high_frequency,0.03280598207141802,3.2805982071418023,0.3974358974358974,78,-0.052961953354535796,-5.29619533545358,15.911240422247403,1.1969626436263592,8.803418803418803e-11,0.2158533002662722,10328.059820714181,0.03280598207141802
btc_vol_breakout_9m,0,0.035,0.02,0.003,0.15,30,high_frequency,0.04684902375408181,4.684902375408181,0.6571428571428571,35,-0.02542761500705193,-2.542761500705193,29.10602515134373,1.5977295510879956,2.4904761904761907e-10,0.8866167622206548,10468.490237540818,0.04684902375408181
btc_vol_breakout_10m,0,0.02,0.04,0.0125,0.1,10,high_frequency,-0.001935611383428909,-0.1935611383428909,0.3333333333333333,39,-0.03760792661748369,-3.760792661748369,-1.6476570702576094,0.9716684200066942,2.0299145299145297e-10,-0.041463962167140184,9980.643886165712,-0.001935611383428909
btc_vol_breakout_2m,0,0.03,0.06,0.0125,0.15,15,high_frequency,0.027502278337356165,2.7502278337356167,0.4117647058823529,34,-0.04807769482082047,-4.807769482082048,13.615137152836187,1.2450883378042972,3.75e-10,0.5600932020224454,10275.022783373563,0.027502278337356165
btc_vol_breakout_9m,0,0.025,0.06,0.0075,0.2,30,high_frequency,0.03593344210922467,3.5933442109224667,0.3448275862068966,29,-0.04622438589522393,-4.6224385895223925,16.20208277494013,1.3482095920228991,3.206896551724138e-10,0.6375703579257394,10359.334421092246,0.03593344210922467
btc_small_down_10m,0,0.01,0.015,0.0175,0.05,5,high_frequency,0.010369923601772222,1.0369923601772222,0.4189189189189189,74,-0.01524562579913502,-1.524562579913502,19.45041268535452,1.2597727058536077,8.761261261261262e-11,0.28145895753816247,10103.699236017723,0.010369923601772222
btc_hl_breakout_9m,0,0.025,0.01,0.0125,0.15,20,high_frequency,0.030323811732224225,3.0323811732224226,0.6142857142857143,70,-0.05033935580841775,-5.033935580841775,14.299232729366048,1.1955746302281016,1.5595238095238096e-10,0.29753893560958944,10303.238117322242,0.030323811732224225
btc_hl_breakout_2m,0,0.03,0.035,0.0075,0.25,15,high_frequency,0.029447187578806915,2.9447187578806915,0.46511627906976744,43,-0.08455608133304138,-8.455608133304137,9.895296301717963,1.1290645311336027,2.9573643410852713e-10,0.29910405224646724,10294.47187578807,0.029447187578806915
btc_hl_breakout_9m,0,0.025,0.04,0.0075,0.05,90,high_frequency,0.009472914781447258,0.9472914781447258,0.3877551020408163,49,-0.01976684394886974,-1.976684394886974,12.759597779145917,1.193411998051907,2.4421768707482994e-10,0.3918472253088091,10094.729147814473,0.009472914781447258
btc_vol_breakout_10m,0,0.0175,0.03,0.003,0.2,30,high_frequency,-0.0025775974780032356,-0.25775974780032357,0.34146341463414637,41,-0.06599235455905739,-6.599235455905738,-0.788242949635541,0.9803603865661259,1.8008130081300813e-10,-0.017006229935162723,9974.224025219968,-0.0025775974780032356
btc_small_up_10m,0,0.035,0.015,0.0125,0.2,20,high_frequency,0.07757776813173357,7.757776813173358,0.6444444444444445,45,-0.054694310122949896,-5.46943101229499,26.604003915189494,1.5246515733292176,2.359259259259259e-10,0.8551921810395392,10775.777681317335,0.07757776813173357
btc_alt_aligned,0,0.005,0.035,0.0175,0.25,5,high_frequency,-0.014180258988410969,-1.418025898841097,0.33587786259541985,131,-0.11807339774132997,-11.807339774132997,-2.63539862953566,0.9611322737151241,9.351145038167939e-11,-0.03131495952391674,9858.19741011589,-0.014180258988410969
