strategy_rank,pattern,total_trades,winning_trades,losing_trades,win_rate,total_pnl,avg_trade_return,best_trade_return,worst_trade_return,avg_duration_minutes
1,btc_any_breakout_down,241,96,145,39.83402489626556,12103.64097218962,0.8096253063697113,45.39744041329108,-12.436198353265535,0.0
2,btc_vol_breakout_2m,246,93,153,37.80487804878049,9852.25275204878,0.704860221449841,44.68395840635588,-12.436198353265523,0.0
3,btc_small_down_9m,238,82,156,34.45378151260504,8746.544554138294,0.6770747593823733,44.6839584063559,-10.926248768286213,0.0
4,btc_any_breakout_down,241,96,145,39.83402489626556,6789.789691992108,0.8096253063697123,45.397440413291065,-12.436198353265523,0.0
5,btc_any_breakout_down,241,96,145,39.83402489626556,6789.789691992108,0.8096253063697123,45.397440413291065,-12.436198353265523,0.0
6,btc_strong_down,315,134,181,42.53968253968254,9843.434672984904,0.5320704112330262,19.676250302005307,-10.382826203004658,0.0
7,btc_any_sustained_down,227,87,140,38.32599118942731,8094.164294835125,0.6670431946899786,44.86167163829911,-10.573776729320466,0.0
8,btc_vol_breakout_2m,305,114,191,37.37704918032787,9362.906765823576,0.5361236354148134,19.7832687676683,-12.436198353265535,0.0
9,btc_any_sustained_down,221,86,135,38.91402714932127,6182.003195368594,0.8033763576140613,20.245752561770843,-10.573776729320453,0.0
10,btc_any_breakout_down,184,108,76,58.69565217391305,6925.441659037711,0.741092683495613,19.67625030200532,-12.732065943858615,0.0
