pattern,lag,stop_loss,take_profit,trailing_stop,position_size,holding_time,source,total_return,total_return_pct,win_rate,total_trades,max_drawdown,max_drawdown_pct,sharpe_ratio,profit_factor,avg_trade_duration_minutes,avg_trade_return_pct,final_value,risk_adjusted_return
btc_small_down_10m,0,0.1,0.01,0.0,0.5,90,random,0.26722729796797384,26.722729796797385,0.8666666666666667,30,-0.08660957601358843,-8.660957601358843,38.23815889024247,2.096473855645068,3.472222222222222e-10,1.653776383279262,12672.27297967974,0.26722729796797384
btc_hl_breakout_2m,0,0.08,0.12,0.0,0.5,480,random,0.23582229757285467,23.582229757285468,0.5,14,-0.15184296224967853,-15.184296224967852,29.909467471225135,1.657530372409736,1.0059523809523809e-09,3.410963474322632,12358.222975728546,0.23582229757285467
btc_hl_breakout_5m,0,0.025,0.2,0.0,0.5,1440,random,0.23459409288420194,23.459409288420193,0.35714285714285715,14,-0.13048767072987177,-13.048767072987177,29.320706485630687,1.9197376689730714,1.030952380952381e-09,3.367118669433127,12345.94092884202,0.23459409288420194
btc_small_up_9m,0,0.035,0.02,0.0,0.5,30,random,0.23213050585817846,23.213050585817847,0.6756756756756757,37,-0.049807564935135495,-4.9807564935135495,38.229788237681326,1.782088058688888,2.8063063063063067e-10,1.1758998702930847,12321.305058581784,0.23213050585817846
btc_hl_breakout_4m,0,0.035,0.3,0.0,0.5,5,random,0.22453131879519989,22.45313187951999,0.3333333333333333,9,-0.1566410886981393,-15.66410886981393,27.15915842266057,2.057769475245189,1.6185185185185186e-09,5.219019458190807,12245.313187951999,0.22453131879519989
btc_small_down_10m,0,0.06,0.01,0.0,0.5,15,random,0.22101370742910084,22.101370742910085,0.8055555555555556,36,-0.08941340056715663,-8.941340056715664,33.37572640371437,1.8100252751913704,2.634259259259259e-10,1.161711239932043,12210.137074291008,0.22101370742910084
btc_small_down_10m,0,0.05,0.3,0.0,0.5,45,random,0.21873403473587824,21.873403473587825,0.375,8,-0.1556248540710392,-15.562485407103921,26.477060388609303,2.0124339325894676,1.80625e-09,5.764642658349361,12187.340347358782,0.21873403473587824
btc_hl_breakout_7m,0,0.06,0.2,0.0,0.5,720,random,0.21479182248183598,21.479182248183598,0.5,10,-0.1601929710100548,-16.01929710100548,27.09308213365411,1.8752422155610335,1.4533333333333333e-09,4.36139797731323,12147.91822481836,0.21479182248183598
btc_hl_breakout_9m,0,0.06,0.12,0.0,0.5,45,random,0.2044964487183167,20.44964487183167,0.4666666666666667,15,-0.16019297101005447,-16.01929710100545,26.33150195523492,1.603126848381085,9.622222222222221e-10,2.764265087294516,12044.964487183166,0.2044964487183167
btc_alt_aligned,0,0.05,0.3,0.0,0.5,1440,random,0.20345051021600558,20.345051021600558,0.375,8,-0.15548228994113378,-15.548228994113378,24.905224938087045,1.8808362793594224,1.8458333333333333e-09,5.474810304418895,12034.505102160056,0.20345051021600558
btc_hl_breakout_2m,0,0.08,0.15,0.0,0.5,120,random,0.2033624560561866,20.33624560561866,0.5454545454545454,11,-0.1620893971050268,-16.20893971050268,25.99364957254705,1.6718736562621443,1.3181818181818183e-09,3.849797111634184,12033.624560561866,0.2033624560561866
btc_vol_breakout_10m,0,0.025,0.2,0.0,0.5,20,random,0.19637044834083153,19.637044834083152,0.3076923076923077,13,-0.10071210664905961,-10.07121066490596,29.885276794983085,1.983268362725926,9.461538461538462e-10,3.108368411291585,11963.704483408315,0.19637044834083153
btc_hl_breakout_4m,0,0.0175,0.15,0.0,0.4,60,random,0.1947151598877288,19.47151598877288,0.3,20,-0.11655342875587482,-11.655342875587483,30.096020864289105,1.8558872795364587,6.924999999999999e-10,2.4231688030223686,11947.151598877288,0.1947151598877288
