strategy_rank,pattern,lag,stop_loss,take_profit,trailing_stop,position_size,holding_time,strategy_total_return,strategy_win_rate,trade_id,entry_timestamp,exit_timestamp,entry_price,exit_price,size,pnl,return_pct,duration_minutes,direction,status
1,btc_small_down_10m,0,0.08,0.01,0.0,0.5,30,0.23493648490461955,0.8620689655172413,,2025-07-01 14:28:00+00:00,2025-07-02 16:05:00+00:00,0.15864,0.16778,31517.90216843167,288.07362581946563,5.761472516389313,0.0,Long,Closed
1,btc_small_down_10m,0,0.08,0.01,0.0,0.5,30,0.23493648490461955,0.8620689655172413,,2025-07-03 12:39:00+00:00,2025-07-03 13:36:00+00:00,0.17116,0.17345,30053.965955303418,68.82358203764397,1.3379294227623109,0.0,Long,Closed
1,btc_small_down_10m,0,0.08,0.01,0.0,0.5,30,0.23493648490461955,0.8620689655172413,,2025-07-03 14:33:00+00:00,2025-07-09 19:37:00+00:00,0.17269,0.17539,29986.962788398603,80.96479952867594,1.5634952805605364,0.0,Long,Closed
1,btc_small_down_10m,0,0.08,0.01,0.0,0.5,30,0.23493648490461955,0.8620689655172413,,2025-07-09 20:09:00+00:00,2025-07-10 16:24:00+00:00,0.17571,0.18199,29701.957792344732,186.52829493592526,3.5740709122986805,0.0,Long,Closed
1,btc_small_down_10m,0,0.08,0.01,0.0,0.5,30,0.23493648490461955,0.8620689655172413,,2025-07-11 00:19:00+00:00,2025-07-11 05:48:00+00:00,0.19277,0.20098,27557.16735571331,226.24434399040638,4.258961456658195,0.0,Long,Closed
1,btc_small_down_10m,0,0.08,0.01,0.0,0.5,30,0.23493648490461955,0.8620689655172413,,2025-07-11 15:55:00+00:00,2025-07-14 03:42:00+00:00,0.2026,0.20521,26778.4665506222,69.89179769712428,1.2882527147087919,0.0,Long,Closed
1,btc_small_down_10m,0,0.08,0.01,0.0,0.5,30,0.23493648490461955,0.8620689655172413,,2025-07-14 14:27:00+00:00,2025-07-16 15:08:00+00:00,0.20353,0.20595,26827.80534567199,64.92328893652666,1.189013904584099,0.0,Long,Closed
1,btc_small_down_10m,0,0.08,0.01,0.0,0.5,30,0.23493648490461955,0.8620689655172413,,2025-07-16 15:15:00+00:00,2025-07-17 01:38:00+00:00,0.20411,0.21213,26910.61127075049,215.82310239141862,3.929253833717107,0.0,Long,Closed
1,btc_small_down_10m,0,0.08,0.01,0.0,0.5,30,0.23493648490461955,0.8620689655172413,,2025-07-17 22:53:00+00:00,2025-07-18 01:11:00+00:00,0.218,0.2278,25690.99274159905,251.7717288676704,4.495412844036692,0.0,Long,Closed
1,btc_small_down_10m,0,0.08,0.01,0.0,0.5,30,0.23493648490461955,0.8620689655172413,,2025-07-18 14:18:00+00:00,2025-07-20 22:08:00+00:00,0.24553,0.26852,23323.10626849032,536.1982131125915,9.363417912271396,0.0,Long,Closed
1,btc_small_down_10m,0,0.08,0.01,0.0,0.5,30,0.23493648490461955,0.8620689655172413,,2025-07-20 22:12:00+00:00,2025-07-21 14:20:00+00:00,0.26828,0.27892,22344.64510458746,237.74702391281062,3.9660056657223803,0.0,Long,Closed
1,btc_small_down_10m,0,0.08,0.01,0.0,0.5,30,0.23493648490461955,0.8620689655172413,,2025-07-22 01:17:00+00:00,2025-07-22 01:20:00+00:00,0.26411,0.26791,23147.532848491646,87.96062482426714,1.4387944417098752,0.0,Long,Closed
1,btc_small_down_10m,0,0.08,0.01,0.0,0.5,30,0.23493648490461955,0.8620689655172413,,2025-07-22 13:51:00+00:00,2025-07-22 18:53:00+00:00,0.26386,0.26665,23336.14497471107,65.10784447944388,1.057378913059956,0.0,Long,Closed
