strategy_rank,pattern,total_trades,winning_trades,losing_trades,win_rate,total_pnl,avg_trade_return,best_trade_return,worst_trade_return,avg_duration_minutes,trades_file
1,btc_small_down_10m,29,25,4,86.20689655172413,2709.2620845947804,1.7166032439815249,12.739841986455986,-9.951793447177051,0.0,strategy_01_btc-small-down-10m_trades.csv
2,btc_small_up_9m,9,4,5,44.44444444444444,2396.560702484384,5.348863804085907,26.00228500207728,-12.177714670054558,0.0,strategy_02_btc-small-up-9m_trades.csv
3,btc_hl_breakout_4m,11,6,5,54.54545454545454,2294.434730404834,4.146205815281506,20.086487537048736,-11.0105637802431,0.0,strategy_03_btc-hl-breakout-4m_trades.csv
4,btc_alt_aligned,15,3,12,20.0,2269.5315086892533,3.170426556218053,40.881427072402936,-10.553356675293038,0.0,strategy_04_btc-alt-aligned_trades.csv
5,btc_vol_breakout_2m,8,5,3,62.5,2111.0270268930863,5.312496331256797,24.963511259382816,-10.938623577682852,0.0,strategy_05_btc-vol-breakout-2m_trades.csv
6,btc_vol_breakout_2m,8,3,5,37.5,2031.4790323635698,5.4486268743304676,38.66253550219467,-12.73206594385862,0.0,strategy_06_btc-vol-breakout-2m_trades.csv
7,btc_bullish,13,4,9,30.76923076923077,2090.228243534547,3.311008449575129,27.62716240640331,-5.724849666829192,0.0,strategy_07_btc-bullish_trades.csv
8,btc_bullish,18,9,9,50.0,2120.283082686611,2.4055738508350686,23.853068815871033,-10.393076365854597,0.0,strategy_08_btc-bullish_trades.csv
9,btc_hl_breakout_4m,18,3,15,16.666666666666664,2094.19708408565,2.397331306218576,31.543116490166412,-11.858241140071263,0.0,strategy_09_btc-hl-breakout-4m_trades.csv
10,btc_alt_aligned,8,3,5,37.5,1946.618090414896,6.2279873690567,39.151163393273556,-12.732065943858611,0.0,strategy_10_btc-alt-aligned_trades.csv
